N,beta1,beta2,beta3,cor_xm,rel,method,par,bias,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.6,0.9,rapi,yx,-0.004054522199517839,0.13115573921652826,-0.05934820806299035,-0.030851163137464273,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,yint,-0.007187136383033387,0.10214058701319077,-0.1565714824875144,-0.07036341323123001,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,ym,1.8500218219391642e-4,0.13398653654710935,-0.08399440155278404,0.0013772971361328782,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,yx,-0.00552505174396934,0.132515023256376,-0.07484095854598993,-0.04162560741065998,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,yint,0.027830614555974336,0.11535460260802224,-0.1432005585638748,0.24798287834098504,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,ym,0.001020670411035332,0.13642368468061694,-0.08909421948502305,0.007463103165197434,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,yx,-0.004231567805061643,0.13304771120235853,-0.06790692009729837,-0.03174133607926614,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.8,0,0.7,rapi,yint,0.026614132379712215,0.22986041198609386,-0.13779664445897644,0.11627608944816825,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,rapi,ym,0.006855777981139954,0.14836867937492623,-0.08171722735238018,0.04614133890189094,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,rapi,yx,-0.004410247786542417,0.13695366663581723,-0.0038183486797218613,-0.032138541619000933,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
