N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,raw_bias,raw_rse_bias,rmse,robust_rse_bias,std_bias,stdMed_bias,trimm_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.85,0.3,0.7,rapi,yint,1,0.8855,0.019894954738076995,-0.07912329195154777,0.27082081074006364,0.3021103199797539,0.07364230194432456,-0.11829893848310917,-0.01302284686340488,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.85,0.3,0.7,tspa,yint,1,0.9575,0.020312241901968262,-0.18821090981378608,0.22671404451019503,0.35961264256046577,0.08993338320936806,0.014139315179249429,0.0020570995843670614,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.85,0.3,0.7,upi,yint,1,0.974,0.06600664910768003,0.11876158765569089,0.3055557695257179,0.636113026896906,0.2211902116994935,0.14516479475385602,0.03007072526639376,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.85,0.3,0.8,rapi,yint,1,0.9255,0.015554140486378964,-0.13053683674978767,0.1817414035393548,0.3441785686447838,0.08587760228437202,-0.019866666758239088,-5.923013236184271e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.85,0.3,0.8,tspa,yint,1,0.938,0.002985946544565992,-0.048065615676145756,0.1307237723182931,0.4413866012274512,0.022841897590744824,-0.03413400577690978,-0.0011547919131990603,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.85,0.3,0.8,upi,yint,1,0.9695,0.015469650834030336,-0.016360740776797944,0.1725682875472841,0.5678337738949655,0.08998351666464742,0.08884620766781655,0.011998599792839015,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.85,0.3,0.9,rapi,yint,1,0.94,0.0011479949692058595,-0.035363291609750824,0.1170301482780312,0.3944283306570333,0.0098074143638298885,-0.029388496655701295,-0.002648445631176055,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.85,0.3,0.9,tspa,yint,1,0.9390000000000001,-0.00398341839766134,-0.02197631948114409,0.10660981487668868,0.45559373378838464,-0.037381223045644896,-0.08342709748133871,-0.004969327328199713,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.85,0.3,0.9,upi,yint,1,0.9505,5.034886580401141e-4,0.017342038916380087,0.10906988566573265,0.5358441886063621,0.004615097286579756,-0.045687085578216755,-6.565962004679848e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.85,0.6,0.7,rapi,yint,1,0.8995,0.025085142249255128,0.05523254416499612,0.2733369899805432,0.35975348251697437,0.09213957569411388,-0.07184235069017583,-0.006548818361999997,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.85,0.6,0.7,tspa,yint,1,0.949,0.018948819248082435,-0.13935881416903706,0.17151458365301092,0.41377675428629135,0.11113202756537503,0.03455824152852242,0.005554696967659256,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.85,0.6,0.7,upi,yint,1,0.965,0.04737383414877898,0.23080645325230953,0.21993374138495292,0.5918758078696538,0.2205232334526997,0.12896404099749806,0.02289769041469214,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.85,0.6,0.8,rapi,yint,1,0.9355,0.01454407608039032,-0.06913565378053443,0.14668947182226807,0.37848325132430705,0.09961478768537803,-4.1750726470239863e-4,0.0024859459762853753,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.85,0.6,0.8,tspa,yint,1,0.951,0.005841363728221413,-0.04148034262354672,0.11484272678190707,0.45374211120368146,0.05091721878633655,0.0044586840303817,0.002331350616628425,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.85,0.6,0.8,upi,yint,1,0.968,0.0160710661838226,0.07062523216126526,0.12162385800105179,0.5739964576371179,0.1332730266960716,0.07557772760918854,0.01175622089583861,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.85,Correlation_XM == 0.6,Reliability == 0.8
